StartTime,EndTime,Direction,StartPrice,EndPrice,MaxMinPrice,Distance,MAValue,Segment,Session_Start,Session_Peak,Session_End,Symbol,TF,MAPeriod,MAType,ScanStart,ScanEnd
2025.12.31 14:02,2025.12.31 14:03,BEARISH,4339.413,4340.591,4338.664,1.909,4340.573,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:03,2025.12.31 14:05,BULLISH,4340.591,4336.367,4342.850,2.275,4340.641,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:05,2025.12.31 14:08,BEARISH,4336.367,4340.227,4334.794,5.440,4340.042,Range_5-10,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:08,2025.12.31 14:09,BULLISH,4340.227,4339.663,4340.837,0.949,4339.888,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:09,2025.12.31 14:10,BEARISH,4339.663,4340.088,4338.218,1.649,4339.867,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:10,2025.12.31 14:11,BULLISH,4340.088,4339.753,4340.419,0.531,4339.888,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:11,2025.12.31 14:14,BEARISH,4339.753,4340.237,4336.025,3.850,4339.446,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:14,2025.12.31 14:20,BULLISH,4340.237,4339.926,4344.970,5.449,4340.277,Range_5-10,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:20,2025.12.31 14:21,BEARISH,4339.926,4340.925,4339.088,1.590,4340.678,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:21,2025.12.31 14:22,BULLISH,4340.925,4338.915,4340.925,0.223,4340.702,Below_5,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:22,2025.12.31 14:30,BEARISH,4338.915,4342.378,4332.962,7.569,4338.626,Range_5-10,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 14:30,2025.12.31 14:39,BULLISH,4342.378,4337.163,4348.761,9.910,4341.449,Range_5-10,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
