Time,Direction,EntryPrice,Peak,TriggerPrice,Impulse,Pullback,Segment,Hit_20%,Hit_30%,Hit_40%,Hit_50%,Session_Entry,Session_Peak,Session_Trigger,Symbol,TF,MAPeriod,MAType,ScanStart,ScanEnd
2025.12.31 15:09,BEARISH,4346.005,4334.254,4337.647,11.751,3.393,Range_11-15,TRUE,FALSE,FALSE,FALSE,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 19:46,BEARISH,4317.298,4307.289,4313.133,10.009,5.844,UNCLASSIFIED,TRUE,TRUE,TRUE,TRUE,NY,NY,NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 20:33,BULLISH,4310.166,4323.281,4318.292,13.115,4.989,Range_11-15,TRUE,TRUE,FALSE,FALSE,NY,NY,NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2025.12.31 20:53,BEARISH,4317.250,4307.076,4313.020,10.174,5.944,UNCLASSIFIED,TRUE,TRUE,TRUE,TRUE,NY,NY,NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.01 00:00
2026.01.02 02:57,BULLISH,4351.600,4361.996,4358.282,10.396,3.714,UNCLASSIFIED,TRUE,TRUE,FALSE,FALSE,SYDNEY TOKYO,SYDNEY TOKYO,SYDNEY TOKYO,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.02 02:58
2026.01.02 08:47,BULLISH,4383.647,4395.398,4391.139,11.751,4.259,Range_11-15,TRUE,TRUE,FALSE,FALSE,TOKYO LONDON,TOKYO LONDON,TOKYO LONDON,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.02 08:48
2026.01.02 10:57,BULLISH,4387.704,4398.556,4396.231,10.852,2.325,UNCLASSIFIED,TRUE,FALSE,FALSE,FALSE,LONDON,LONDON,LONDON,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.02 10:58
2026.01.02 12:54,BEARISH,4395.586,4385.177,4389.984,10.409,4.807,UNCLASSIFIED,TRUE,TRUE,TRUE,FALSE,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.02 12:55
2026.01.02 13:20,BULLISH,4389.984,4402.465,4392.829,12.481,9.636,Range_11-15,TRUE,TRUE,TRUE,TRUE,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.02 13:21
2026.01.02 13:25,BEARISH,4392.829,4379.737,4385.807,13.092,6.070,Range_11-15,TRUE,TRUE,TRUE,FALSE,LONDON NY,LONDON NY,LONDON NY,XAUUSDm,PERIOD_M1,20,MODE_EMA,2026.01.01 00:00,2026.01.02 13:26
